pdb_a,pdb_b,system_a,system_b,same_system,receptor_identity,receptor_identity_over_alignment,receptor_substitutions,receptor_gap_positions,effector_identity,effector_identity_over_alignment,effector_substitutions,effector_gap_positions,min_identity,total_substitutions
5ZNG,7A8X,RGA5,Pik,False,54.05,49.38,32,9,17.74,12.64,44,32,17.74,76
5ZNG,7BNT,RGA5,Pik,False,53.33,50.63,35,4,17.74,11.7,41,42,17.74,76
5ZNG,7QPX,RGA5,Pik,False,54.79,49.38,31,10,17.74,12.5,44,33,17.74,75
5ZNG,7QZD,RGA5,Pik,False,51.32,47.56,34,9,22.58,15.22,38,40,22.58,72
5ZNG,8B2R,RGA5,RGA5,True,88.46,85.19,7,5,22.58,14.58,38,44,22.58,45
5ZNG,9IMU,RGA5,RGA5,True,97.33,91.25,1,6,17.74,12.09,41,39,17.74,42
5ZNG,9IP6,RGA5,RGA5,True,98.65,92.41,1,5,100.0,98.39,0,1,98.65,1
6FU9,6FUB,Pik,Pik,True,100.0,97.53,0,2,98.85,92.47,1,6,98.85,1
6FU9,6FUD,Pik,Pik,True,100.0,97.47,0,2,96.3,89.66,3,6,96.3,3
6FU9,6G10,Pik,Pik,True,60.53,58.23,30,3,100.0,95.4,0,4,60.53,30
6FU9,6G11,Pik,Pik,True,64.38,59.49,26,6,98.78,93.1,1,5,64.38,27
6FU9,6Q76,Pik,Pik,True,64.38,59.49,26,6,20.59,13.21,35,57,20.59,61
6FU9,6R8K,Pik,Pik,True,63.64,62.03,28,2,100.0,95.4,0,4,63.64,28
6FU9,6R8M,Pik,Pik,True,64.1,62.5,27,3,98.78,93.1,1,5,64.1,28
6FU9,7A8W,Pik,Pik,True,66.22,62.03,25,5,97.47,88.51,2,8,66.22,27
6FU9,7A8X,Pik,Pik,True,64.86,60.76,26,5,97.5,89.66,2,7,64.86,28
6FU9,7BNT,Pik,Pik,True,69.33,65.0,22,6,100.0,96.55,0,3,69.33,22
6FU9,7QPX,Pik,Pik,True,64.38,59.49,26,6,97.53,90.8,2,6,64.38,28
6FU9,7QZD,Pik,Pik,True,63.16,60.76,28,3,95.12,89.66,4,5,63.16,32
6FU9,8B2R,Pik,RGA5,False,53.85,52.5,35,3,91.86,90.8,7,1,53.85,42
6FU9,9IMU,Pik,RGA5,False,50.67,48.1,37,4,100.0,93.1,0,6,50.67,37
6FU9,9IP6,Pik,RGA5,False,50.0,46.84,37,5,18.03,11.34,40,46,18.03,77
6FUB,6FUD,Pik,Pik,True,100.0,95.06,0,4,97.53,84.95,2,12,97.53,2
6FUB,6G10,Pik,Pik,True,60.53,56.79,30,5,98.8,88.17,1,10,60.53,31
6FUB,6G11,Pik,Pik,True,64.38,58.02,26,8,100.0,88.17,0,11,64.38,26
6FUB,6Q76,Pik,Pik,True,64.38,58.02,26,8,20.59,12.5,35,63,20.59,61
6FUB,6R8K,Pik,Pik,True,63.64,60.49,28,4,98.8,88.17,1,10,63.64,29
6FUB,6R8M,Pik,Pik,True,66.67,64.2,26,3,100.0,88.17,0,11,66.67,26
6FUB,7A8W,Pik,Pik,True,66.22,60.49,25,7,98.73,83.87,1,14,66.22,26
6FUB,7A8X,Pik,Pik,True,64.86,59.26,26,7,98.75,84.95,1,13,64.86,27
6FUB,7BNT,Pik,Pik,True,72.0,66.67,21,6,98.81,89.25,1,9,72.0,22
6FUB,7QPX,Pik,Pik,True,64.38,58.02,26,8,98.77,86.02,1,12,64.38,27
6FUB,7QZD,Pik,Pik,True,63.16,59.26,28,5,96.34,84.95,3,11,63.16,31
6FUB,8B2R,Pik,RGA5,False,53.85,51.22,35,5,93.02,86.02,6,7,53.85,41
6FUB,9IMU,Pik,RGA5,False,50.67,46.91,37,6,98.77,86.02,1,12,50.67,38
6FUB,9IP6,Pik,RGA5,False,50.0,45.68,37,7,21.31,12.38,36,56,21.31,73
6FUD,6G10,Pik,Pik,True,60.53,59.74,30,1,96.3,93.98,3,2,60.53,33
6FUD,6G11,Pik,Pik,True,64.38,61.04,26,4,97.53,96.34,2,1,64.38,28
6FUD,6Q76,Pik,Pik,True,63.01,58.97,26,6,20.59,14.0,35,51,20.59,61
6FUD,6R8K,Pik,Pik,True,63.64,63.64,28,0,96.3,93.98,3,2,63.64,31
6FUD,6R8M,Pik,Pik,True,63.64,61.25,26,5,97.53,96.34,2,1,63.64,28
6FUD,7A8W,Pik,Pik,True,64.86,61.54,25,5,96.2,93.83,3,2,64.86,28
6FUD,7A8X,Pik,Pik,True,63.51,60.26,26,5,96.25,95.06,3,1,63.51,29
6FUD,7BNT,Pik,Pik,True,68.0,63.75,21,8,96.3,92.86,3,3,68.0,24
6FUD,7QPX,Pik,Pik,True,64.38,61.04,26,4,96.3,96.3,3,0,64.38,29
6FUD,7QZD,Pik,Pik,True,63.16,62.34,28,1,98.77,97.56,1,1,63.16,29
6FUD,8B2R,Pik,RGA5,False,51.95,50.63,36,3,98.77,93.02,1,5,51.95,37
6FUD,9IMU,Pik,RGA5,False,50.67,49.35,37,2,96.3,96.3,3,0,50.67,40
6FUD,9IP6,Pik,RGA5,False,50.0,48.05,37,3,18.03,12.09,40,40,18.03,77
6G10,6G11,Pik,Pik,True,98.63,93.51,0,5,98.78,97.59,1,1,98.63,1
6G10,6Q76,Pik,Pik,True,98.63,93.51,0,5,20.59,13.73,35,53,20.59,35
6G10,6R8K,Pik,Pik,True,97.37,96.1,2,1,100.0,100.0,0,0,97.37,2
6G10,6R8M,Pik,Pik,True,94.74,90.0,2,6,98.78,97.59,1,1,94.74,3
6G10,7A8W,Pik,Pik,True,95.95,92.21,2,4,97.47,92.77,2,4,95.95,4
6G10,7A8X,Pik,Pik,True,97.3,93.51,1,4,97.5,93.98,2,3,97.3,3
6G10,7BNT,Pik,Pik,True,82.67,78.48,10,7,100.0,98.81,0,1,82.67,10
6G10,7QPX,Pik,Pik,True,95.89,92.11,3,3,97.53,95.18,2,2,95.89,5
6G10,7QZD,Pik,Pik,True,94.74,93.51,3,2,95.12,93.98,4,1,94.74,7
6G10,8B2R,Pik,RGA5,False,52.63,51.28,36,2,95.18,91.86,4,3,52.63,40
6G10,9IMU,Pik,RGA5,False,49.33,48.68,38,1,100.0,97.59,0,2,49.33,38
6G10,9IP6,Pik,RGA5,False,50.0,48.68,37,2,18.03,11.83,40,42,18.03,77
6G11,6Q76,Pik,Pik,True,95.89,92.11,0,6,20.59,13.86,35,52,20.59,35
6G11,6R8K,Pik,Pik,True,97.26,92.21,2,4,98.78,97.59,1,1,97.26,3
6G11,6R8M,Pik,Pik,True,95.89,89.74,3,5,100.0,100.0,0,0,95.89,3
6G11,7A8W,Pik,Pik,True,95.89,93.33,2,3,98.73,95.12,1,3,95.89,3
6G11,7A8X,Pik,Pik,True,97.26,94.67,1,3,98.75,96.34,1,2,97.26,2
6G11,7BNT,Pik,Pik,True,84.93,77.5,6,12,98.78,96.43,1,2,84.93,7
6G11,7QPX,Pik,Pik,True,94.52,93.24,3,2,98.77,97.56,1,1,94.52,4
6G11,7QZD,Pik,Pik,True,95.89,92.11,3,3,96.34,96.34,3,0,95.89,6
6G11,8B2R,Pik,RGA5,False,56.16,51.9,31,7,96.34,91.86,3,4,56.16,34
6G11,9IMU,Pik,RGA5,False,52.05,49.35,33,6,98.77,97.56,1,1,52.05,34
6G11,9IP6,Pik,RGA5,False,52.05,49.35,32,7,18.03,11.96,40,41,18.03,72
6Q76,6R8K,Pik,Pik,True,98.63,92.31,0,6,20.59,13.73,35,53,20.59,35
6Q76,6R8M,Pik,Pik,True,98.63,92.31,1,5,20.59,13.86,35,52,20.59,36
6Q76,7A8W,Pik,Pik,True,98.63,96.0,0,3,22.06,15.96,38,41,22.06,38
6Q76,7A8X,Pik,Pik,True,98.63,96.0,0,3,20.59,14.89,40,40,20.59,40
6Q76,7BNT,Pik,Pik,True,86.3,81.82,8,6,20.59,13.59,35,54,20.59,43
6Q76,7QPX,Pik,Pik,True,95.89,93.33,1,4,20.59,14.74,40,41,20.59,41
6Q76,7QZD,Pik,Pik,True,97.26,92.21,1,5,20.59,13.86,35,52,20.59,36
6Q76,8B2R,Pik,RGA5,False,54.79,51.28,33,5,20.59,13.33,35,56,20.59,68
6Q76,9IMU,Pik,RGA5,False,50.68,48.68,35,4,20.59,14.0,35,51,20.59,70
6Q76,9IP6,Pik,RGA5,False,50.68,49.33,35,3,26.23,17.98,24,49,26.23,59
6R8K,6R8M,Pik,Pik,True,97.4,93.75,0,5,98.78,97.59,1,1,97.4,1
6R8K,7A8W,Pik,Pik,True,98.65,93.59,0,5,97.47,92.77,2,4,97.47,2
6R8K,7A8X,Pik,Pik,True,97.3,92.31,1,5,97.5,93.98,2,3,97.3,3
6R8K,7BNT,Pik,Pik,True,82.67,77.5,10,8,100.0,98.81,0,1,82.67,10
6R8K,7QPX,Pik,Pik,True,98.63,93.51,1,4,97.53,95.18,2,2,97.53,3
6R8K,7QZD,Pik,Pik,True,98.68,97.4,1,1,95.12,93.98,4,1,95.12,5
6R8K,8B2R,Pik,RGA5,False,54.55,53.16,34,3,95.18,91.86,4,3,54.55,38
6R8K,9IMU,Pik,RGA5,False,50.67,49.35,37,2,100.0,97.59,0,2,50.67,37
6R8K,9IP6,Pik,RGA5,False,50.0,48.05,37,3,18.03,11.83,40,42,18.03,77
6R8M,7A8W,Pik,Pik,True,98.65,93.59,1,4,98.73,95.12,1,3,98.65,2
6R8M,7A8X,Pik,Pik,True,97.3,92.31,2,4,98.75,96.34,1,2,97.3,3
6R8M,7BNT,Pik,Pik,True,86.67,81.25,8,7,98.78,96.43,1,2,86.67,9
6R8M,7QPX,Pik,Pik,True,97.26,91.03,2,5,98.77,97.56,1,1,97.26,3
6R8M,7QZD,Pik,Pik,True,96.05,92.41,2,4,96.34,96.34,3,0,96.05,5
6R8M,8B2R,Pik,RGA5,False,57.69,55.56,30,6,96.34,91.86,3,4,57.69,33
6R8M,9IMU,Pik,RGA5,False,52.0,48.15,33,9,98.77,97.56,1,1,52.0,34
6R8M,9IP6,Pik,RGA5,False,51.35,46.91,33,10,18.03,11.96,40,41,18.03,73
7A8W,7A8X,Pik,Pik,True,98.65,98.65,1,0,100.0,98.75,0,1,98.65,1
7A8W,7BNT,Pik,Pik,True,85.14,79.75,7,9,97.47,91.67,2,5,85.14,9
7A8W,7QPX,Pik,Pik,True,98.63,97.3,1,1,100.0,97.53,0,2,98.63,1
7A8W,7QZD,Pik,Pik,True,97.3,93.51,1,4,94.94,91.46,4,3,94.94,5
7A8W,8B2R,Pik,RGA5,False,58.11,55.13,31,4,94.94,87.21,4,7,58.11,35
7A8W,9IMU,Pik,RGA5,False,52.7,50.65,33,5,97.47,95.06,2,2,52.7,35
7A8W,9IP6,Pik,RGA5,False,51.35,49.35,33,6,18.03,12.79,43,32,18.03,76
7A8X,7BNT,Pik,Pik,True,85.14,79.75,7,9,97.5,92.86,2,4,85.14,9
7A8X,7QPX,Pik,Pik,True,97.26,95.95,2,1,100.0,98.77,0,1,97.26,2
7A8X,7QZD,Pik,Pik,True,95.95,92.21,2,4,95.0,92.68,4,2,95.0,6
7A8X,8B2R,Pik,RGA5,False,56.76,53.85,32,4,95.0,88.37,4,6,56.76,36
7A8X,9IMU,Pik,RGA5,False,52.7,50.65,33,5,97.5,96.3,2,1,52.7,35
7A8X,9IP6,Pik,RGA5,False,51.35,49.35,33,6,18.03,12.64,43,33,18.03,76
7BNT,7QPX,Pik,Pik,True,83.56,77.22,8,10,97.53,94.05,2,3,83.56,10
7BNT,7QZD,Pik,Pik,True,81.33,76.25,10,9,95.12,92.86,4,2,81.33,14
7BNT,8B2R,Pik,RGA5,False,58.67,55.7,30,5,94.05,91.86,5,2,58.67,35
7BNT,9IMU,Pik,RGA5,False,50.67,48.72,34,6,100.0,96.43,0,3,50.67,34
7BNT,9IP6,Pik,RGA5,False,51.35,49.35,34,5,18.03,11.7,40,43,18.03,74
7QPX,7QZD,Pik,Pik,True,100.0,96.05,0,3,95.06,93.9,4,1,95.06,4
7QPX,8B2R,Pik,RGA5,False,60.27,56.41,29,5,95.06,89.53,4,5,60.27,33
7QPX,9IMU,Pik,RGA5,False,54.79,52.63,32,4,97.53,97.53,2,0,54.79,34
7QPX,9IP6,Pik,RGA5,False,53.42,51.32,32,5,18.03,12.5,43,34,18.03,75
7QZD,8B2R,Pik,RGA5,False,56.58,54.43,32,4,100.0,95.35,0,4,56.58,32
7QZD,9IMU,Pik,RGA5,False,52.0,50.65,35,3,95.06,93.9,4,1,52.0,39
7QZD,9IP6,Pik,RGA5,False,51.35,49.35,35,4,22.95,15.22,37,41,22.95,72
8B2R,9IMU,RGA5,RGA5,True,92.0,88.46,6,3,95.06,89.53,4,5,92.0,10
8B2R,9IP6,RGA5,RGA5,True,91.89,87.18,6,4,22.95,14.58,37,45,22.95,43
9IMU,9IP6,RGA5,RGA5,True,100.0,98.67,0,1,18.03,12.09,40,40,18.03,40
